ID,Titolo,Generi,Temi,Punteggio Medio,Rank,Popolarità,Stato,Autori
118625,Sasayaku You ni Koi wo Utau,"Girls Love, School",,8.15,522,496,currently_publishing,Eku Takeshima
77637,Helck,"Action, Fantasy",,8.15,514,430,finished,Nanaki Nanao
84255,Hidamari ga Kikoeru,"Boys Love, School, Slice of Life",,8.15,520,554,finished,Yuki Fumino
137939,Chi. Chikyuu no Undou ni Tsuite,"Award Winning, Drama, Historical, Seinen",,8.15,512,1697,finished, Uoto
100128,Yakusoku no Neverland,"Award Winning, Mystery, Psychological, Shounen, Survival, Suspense",,8.14,523,18,finished,"Posuka Demizu, Kaiu Shirai"
17,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo",,8.14,524,464,finished,Masami Tsuda
729,Emma,"Award Winning, Historical, Romance, Seinen, Slice of Life",,8.14,525,633,finished,Kaoru Mori
770,Gunnm: Last Order,"Action, Drama, Martial Arts, Sci-Fi, Seinen",,8.14,526,756,finished,Yukito Kishiro
1297,Iryuu: Team Medical Dragon,"Award Winning, Drama, Medical, Psychological, Seinen",,8.14,527,1666,finished,"Akira Nagai, Tarou Nogizaka"
1630,JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu,"Action, Adventure, Historical, Shounen, Vampire",,8.14,528,132,finished,Hirohiko Araki
1695,Adolf ni Tsugu,"Award Winning, Drama, Historical, Military",,8.14,529,776,finished,Osamu Tezuka
8070,Sengoku Youko,"Action, Adventure, Fantasy, Historical, Mythology, Shounen",,8.14,530,995,finished,Satoshi Mizukami
8557,Kimi to Boku.,"Comedy, Drama, Romance, School, Shounen, Slice of Life",,8.14,531,1869,finished,Kiichi Hotta
9546,Capeta,"Award Winning, Comedy, Drama, Racing, Shounen",,8.14,532,3924,finished,Masahito Soda
10443,Bakuon Rettou,"Action, Drama, Psychological, School, Seinen",,8.14,536,1513,finished,Tsutomu Takahashi
11850,Keishichou Tokuhanka 007,"Detective, Shoujo, Supernatural",,8.14,537,2042,finished,Eiri Kaji
20242,Binbougami ga!,"Comedy, Mythology, Shounen, Supernatural",,8.14,538,989,finished,Yoshiaki Sukeno
21467,Hoshi Mamoru Inu,"Pets, Seinen, Slice of Life",,8.14,539,966,finished,Takashi Murakami
44319,Mahou Shoujo Madoka★Magica: The Different Story,"Drama, Horror, Mahou Shoujo, School, Seinen",,8.14,539,1175,finished," Magica Quartet,  Hanokage"
120250,Ponkotsu Ponko,"Comedy, Seinen, Slice of Life",,8.14,541,1732,finished,Keita Yatera
111745,Tengoku Daimakyou,"Adventure, Mystery, Sci-Fi, Seinen",,8.13,544,490,currently_publishing,Masakazu Ishiguro
130331,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su","Action, Adventure, Award Winning, Fantasy, Shounen, Video Game",,8.13,550,809,currently_publishing,"Ryousuke Fuji,  Katarina"
10978,Major,"Award Winning, Comedy, Drama, Shounen, Sports, Team Sports",,8.13,548,3225,finished,Takuya Mitsuda
96792,Kimetsu no Yaiba,"Action, Fantasy, Historical, Shounen",,8.13,549,9,finished,Koyoharu Gotouge
20554,Kocchi Muite! Miiko,"Award Winning, Comedy, Shoujo, Slice of Life",,8.13,551,12049,currently_publishing,Eriko Ono
26769,Bokura wa Minna Kawai-sou,"Romance, School, Seinen, Slice of Life",,8.13,545,409,finished,Ruri Miyahara
36131,Fate/kaleid liner Prisma☆Illya 3rei!!,"Action, Comedy, Fantasy, Mahou Shoujo",,8.13,553,2071,currently_publishing,Hiroshi Hiroyama
63535,Amaama to Inazuma,"Childcare, Comedy, Gourmet, Iyashikei, Seinen, Slice of Life",,8.13,554,735,finished,Gido Amagakure
80841,Hakumei to Mikochi,"Fantasy, Iyashikei, Seinen, Slice of Life",,8.12,562,2359,currently_publishing,Takuto Kashiki
89960,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero,"Drama, Fantasy, Isekai, Psychological, Seinen, Suspense, Time Travel",,8.12,558,1712,finished,"Daichi Matsuse, Tappei Nagatsuki"
99969,Sabishisugite Lesbian Fuuzoku ni Ikimashita Report,"Memoir, Slice of Life",,8.12,560,323,finished,Kabi Nagata
107948,Hitori Koukan Nikki,"Memoir, Slice of Life",,8.12,560,1085,finished,Kabi Nagata
117020,Tsukiatte Agetemo Ii kana,Girls Love,,8.12,561,981,currently_publishing, Tamifull
463,NHK ni Youkoso!,"Comedy, Drama, Otaku Culture, Psychological, Romance, Shounen",,8.12,562,283,finished,"Kenji Ooiwa, Tatsuhiko Takimoto"
635,God Child,"Boys Love, Historical, Horror, Mystery, Shoujo, Supernatural",,8.12,565,979,finished,Kaori Yuki
792,City Hunter,"Adventure, Comedy, Detective, Shounen",,8.12,564,1184,finished,Tsukasa Hojo
7010,NG Life,"Comedy, Drama, Historical, Reincarnation, Romance, Shoujo, Supernatural",,8.12,568,1757,finished,Mizuho Kusanagi
7760,Hanma Baki,"Action, Adventure, Gore, Martial Arts",,8.12,569,744,finished,Keisuke Itagaki
10010,Beelzebub,"Action, Childcare, Comedy, Delinquents, Mythology, School, Shounen, Supernatural",,8.12,568,119,finished,Ryuuhei Tamura
24294,Ao Haru Ride,"Romance, School, Shoujo",,8.12,570,45,finished,Io Sakisaka
21054,Touhou Ibara Kasen: Wild and Horned Hermit.,"Fantasy, Slice of Life",,8.11,580,2529,finished," ZUN, Aya Azuma"
36933,Ore Monogatari!!,"Award Winning, Comedy, Romance, Shoujo",,8.11,581,524,finished,"Kazune Kawahara,  Aruko"
112922,Gokushufudou,"Adult Cast, Comedy, Organized Crime",,8.11,573,102,currently_publishing,Kousuke Oono
