ID,Nome,Generi/Temi,Start Date,End Date,Mean Score,Rank,Popularity,Volumi,Capitoli,Stato,Tipo Media,Autori,Serializzazioni
143990,Yamada to Kase-san.,"Girls Love, School, Shoujo",2017-04-28,,7.81,1329,4914,0,0,currently_publishing,manga,Hiromi Takashima,
149674,Shujinkou Nikki,"Romance, School, Shoujo",2021-08-12,,7.81,1331,5183,0,0,currently_publishing,manga,Yuu Yoshinaga,
159245,"Nagahama to Be, or Not to Be",Boys Love,2023-01-30,2023-09-29,7.81,1332,10936,1,6,finished,manga,Scarlet Beriko,
25132,Akame ga Kill!,"Action, Fantasy, Gore, Shounen",2010-04-22,2016-12-22,7.81,1335,51,15,80,finished,manga,"Tetsuya Tashiro,  Takahiro",
44171,Omairi desu yo,Boys Love,2011-07-07,2021-04-07,7.81,1336,2297,10,46,finished,manga,Kotetsuko Yamamoto,
48151,World Trigger,"Action, Sci-Fi, Shounen",2013-02-09,,7.81,1337,360,0,0,currently_publishing,manga,Daisuke Ashihara,
51493,Murasakiiro no Qualia,"Fantasy, Mystery, Sci-Fi, Shounen",2011-01-27,2013-08-27,7.81,1338,1735,3,21,finished,manga,"Hisamitsu Ueo, Shirou Tsunashima",
93416,Youkai Gakkou no Sensei Hajimemashita!,"Comedy, Fantasy, Gag Humor, Mythology, School, Workplace",2014-11-18,,7.81,1339,3523,0,0,currently_publishing,manga,Mai Tanaka,
103562,"Mairimashita, Senpai","Romance, School, Shoujo",2016-06-24,2020-10-24,7.8,1344,1037,10,40,finished,manga,Azusa Mase,
64047,Smells Like Green Spirit,"Boys Love, School, Slice of Life",2011-08-12,2013-02-13,7.8,1345,3671,2,15,finished,manga,Saburou Nagai,
344,ES: Eternal Sabbath,"Drama, Psychological, Sci-Fi, Seinen, Supernatural",2001-08-23,2004-10-07,7.8,1347,1359,8,83,finished,manga,Fuyumi Souryo,
366,Hoshi no Koe,"Drama, Mecha, Romance, Sci-Fi, Seinen",2004-02-25,2004-12-25,7.8,1348,795,1,10,finished,manga,"Makoto Shinkai, Sumomo Yumeka",
556,Trinity Blood,"Action, Drama, Fantasy, Horror, Sci-Fi, Shoujo, Vampire",2003-08-23,2018-04-24,7.8,1349,1044,21,89,finished,manga,"Yoshida Sunao, Kiyo Kyuujou",
1490,Saiunkoku Monogatari,"Drama, Fantasy, Historical, Romance, Shoujo",2005-07-08,2012-03-24,7.8,1351,3772,9,44,finished,manga,"Kairi Yura, Sai Yukino",
2906,W-Juliet II,"Adventure, Comedy, Crossdressing, Romance, Shoujo",2006,,7.8,1352,7582,0,0,currently_publishing,manga, Emura,
3153,Q.E.D.: Shoumei Shuuryou,"Award Winning, Mystery, Shounen",1997-06-20,2015-02-17,7.8,1353,4763,50,99,finished,manga,Motohiro Katou,
8641,Jinjuu Houretsuden,"Action, Boys Love, Fantasy, Supernatural",1997-04,2000-09,7.8,1354,14231,13,38,finished,manga,Shuu Morimoto,
8840,Hanatsukihime,"Fantasy, Historical, Romance, Shoujo, Supernatural",2007-12-10,2008-04-10,7.8,1355,1348,2,8,finished,manga,Wataru Hibiki,
16668,Doubutsu no Kuni,"Action, Adventure, Award Winning, Comedy, Fantasy, Shounen",2009-09-09,2014-02-08,7.8,1356,3533,14,56,finished,manga,Makoto Raiku,
109229,Raise wa Tanin ga Ii,"Organized Crime, Romance, Seinen",2017-08-25,,7.8,1357,568,0,0,currently_publishing,manga,Asuka Konishi,
109339,Saihate no Paladin,"Action, Adventure, Fantasy, Isekai, Reincarnation",2017-09-25,,7.8,1358,616,0,0,currently_publishing,manga,"Mutsumi Okuhashi, Kanata Yanagino",
117241,Fate/Grand Order: Epic of Remnant - Ashu Tokuiten III/Ashu Heikou Sekai - Shizan Ketsuga Butai Shimousa no Kuni - Eirei Kengou Nanaban Shoubu,"Action, Fantasy, Samurai, Supernatural",2019-01-29,,7.8,1359,9725,0,0,currently_publishing,manga,Rei Wataru,
121026,7 Seeds Gaiden,"Action, Adventure, Josei, Romance, Sci-Fi",2017-08-28,2017-10-28,7.8,1360,12020,1,4,finished,manga,Yumi Tamura,
125857,IDOLiSH7: Re:member,"Music, Shoujo",2017-12-09,2019-10-10,7.8,1361,21087,3,12,finished,manga,"Arina Tanemura, Bunta Tsushimi",
28833,Lucky Dog 1 Blast,"Action, Josei, Mystery, Organized Crime",2011-06-15,2016-04-15,7.8,1363,4531,9,49,finished,manga," Tennenouji,  Uzuhachi",
141278,"Tensei shite High Elf ni Narimashita ga, Slow Life wa 120-nen de Akimashita","Adventure, Fantasy, Isekai, Reincarnation",2021-06-10,,7.8,1365,3798,0,0,currently_publishing,manga,"Koh Narita,  Rarutori",
144804,Summer Ghost,"Drama, Seinen, Supernatural",2021-10-08,2022-06-03,7.8,1366,7207,2,15,finished,manga," Otsuichi, Miyoshi Ino",
147091,Seihantai na Kimi to Boku,"Comedy, Romance, School, Shounen",2021-01-07,2024-11-25,7.8,1368,1122,8,0,finished,manga,Koucha Agasawa,
137982,Senpai wa Otokonoko,"Crossdressing, Drama, Romance, School",2019-12-07,2021-12-30,7.79,1373,2114,0,100,finished,manga, Pomu,
582,Kodomo no Jikan,"Comedy, Drama, Ecchi, Romance, School, Seinen, Slice of Life",2005-05-22,2013-04-22,7.79,1376,899,13,93,finished,manga,Kaworu Watashiya,
1051,Kiniro no Corda,"Comedy, Drama, Music, Reverse Harem, Romance, Shoujo",2004-03-05,2011-03-24,7.79,1377,1882,17,75,finished,manga,Yuki Kure,
1185,Katsu!,"Action, Combat Sports, Comedy, Drama, Romance, School, Shounen, Sports",2001-08-08,2005-02-16,7.79,1378,2553,16,157,finished,manga,Mitsuru Adachi,
