ID,Titolo,Generi,Punteggio Medio,Rank,Popolarità,Stato,Autori
85719,Blue Giant,"Award Winning, Music, Seinen",8.49,152,794,finished,Shinichi Ishizuka
28393,Sakamichi no Apollon,"Award Winning, Drama, Josei, Love Polygon, Music, Romance, School",8.49,152,590,finished,Yuki Kodama
104538,Kimi no Suizou wo Tabetai,"Drama, Romance",8.49,155,376,finished,"Idumi Kirihara, Yoru Sumino"
113010,Bakemonogatari,"Action, Comedy, Drama, Mystery, Romance, Shounen, Supernatural, Vampire",8.49,156,449,finished," Oh! Great, ISIN NISIO"
121504,Yubisaki to Renren,"Adult Cast, Romance, Shoujo",8.49,158,313,currently_publishing,Suu Morishita
11734,Watashitachi no Shiawase na Jikan,"Drama, Music, Psychological, Romance, Seinen",8.49,160,116,finished,Sumomo Yumeka
56529,Bungou Stray Dogs,"Action, Detective, Mystery, Seinen, Supernatural",8.48,161,159,currently_publishing,"Kafka Asagiri,  Harukawa35"
38071,Spirit Circle,"Action, Adventure, Comedy, Drama, Reincarnation, Romance, Seinen, Supernatural",8.48,163,388,finished,Satoshi Mizukami
119161,Spy x Family,"Action, Childcare, Comedy, Shounen",8.48,164,19,currently_publishing,Tatsuya Endou
114745,Blue Lock,"Award Winning, Shounen, Sports, Team Sports",8.47,170,44,currently_publishing,"Muneyuki Kaneshiro, Yuusuke Nomura"
117851,Shimeji Simulation,"School, Slice of Life",8.47,167,827,finished, Tsukumizu
88639,"Ohayou, Ibarahime","Romance, Shoujo, Supernatural",8.47,171,487,finished,Megumi Morino
93753,Vanitas no Karte,"Fantasy, Historical, Shounen, Urban Fantasy, Vampire",8.47,172,237,currently_publishing,Jun Mochizuki
25515,JoJo no Kimyou na Bouken Part 8: JoJolion,"Action, Adventure, Award Winning, Mystery, Seinen, Supernatural",8.47,173,75,finished,Hirohiko Araki
46282,Chikan Otoko,"Comedy, Drama, Romance, Slice of Life",8.47,167,364,finished,Takuma Yokota
112988,blanc,"Boys Love, Drama, Slice of Life",8.46,178,2246,finished,Asumiko Nakamura
43,Eyeshield 21,"Shounen, Sports, Team Sports",8.46,177,209,finished,"Riichiro Inagaki, Yusuke Murata"
1183,Cross Game,"Award Winning, Comedy, Drama, Romance, School, Shounen, Sports, Team Sports",8.46,178,844,finished,Mitsuru Adachi
7519,Kami nomi zo Shiru Sekai,"Comedy, Fantasy, Harem, Otaku Culture, Romance, School, Shounen, Supernatural",8.46,180,131,finished,Tamiki Wakaki
36413,Hinamatsuri,"Childcare, Comedy, Organized Crime, Seinen, Supernatural",8.46,177,308,finished,Masao Ohtake
97244,Shimanami Tasogare,"Drama, Psychological, Seinen, Slice of Life",8.46,176,261,finished,Yuuki Kamatani
100323,Yuukoku no Moriarty,"Adult Cast, Historical, Mystery, Psychological, Shounen, Suspense",8.45,185,471,currently_publishing,"Ryousuke Takeuchi, Hikaru Miyoshi"
133431,Uma Musume Cinderella Gray,"Drama, Seinen, Slice of Life, Sports",8.45,187,4923,currently_publishing,Taiyou Kuzumi
135496,Dandadan,"Action, Comedy, Shounen, Supernatural",8.45,188,51,currently_publishing,Yukinobu Tatsu
3299,Ookami to Koushinryou,"Adult Cast, Adventure, Drama, Fantasy, Historical, Romance, Seinen, Supernatural",8.45,189,423,finished,"Keito Koume, Isuna Hasekura"
7482,Rainbow: Nisha Rokubou no Shichinin,"Award Winning, Delinquents, Drama, Historical, Psychological, Seinen",8.45,184,484,finished,"George Abe, Masasumi Kakizaki"
42,Dragon Ball,"Action, Adventure, Fantasy, Martial Arts, Shounen",8.44,191,64,finished,Akira Toriyama
1032,Doraemon,"Adventure, Anthropomorphic, Award Winning, Comedy, Kids, School, Sci-Fi, Shounen, Slice of Life",8.44,192,1211,finished,Fujio F. Fujiko
3285,Holyland,"Action, Delinquents, Martial Arts, Psychological, Seinen",8.44,193,174,finished,Kouji Mori
